"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Stromatoporida"
"Access Time","Fri 2026-01-02 02:57:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Stromatoporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0312"
"Records Found","560"
"Records Returned","560"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"663639","occ","","","71469","""Stromatopora"" colliculata","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","24147"
"693629","occ","","","74632","Stromatopora goldfussi","genus","3442","species not entered","Stromatopora","genus","3442","Givetian","","387.95","382.31","25106"
"693630","occ","","","74632","Stromatopora huepschii","species","424976","","Stromatopora huepschii","species","424975","Givetian","","387.95","382.31","25106"
"697765","occ","","","74993","Taleastroma boiarschinovi","genus","3451","species not entered","Taleastroma","genus","3451","Givetian","","387.95","382.31","25300"
"698417","occ","","","75031","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","25300"
"699367","occ","","","75084","Stromatopora cf. boriarchinovi","genus","3442","species not entered","Stromatopora","genus","3442","Pragian","","413.02","410.62","25347"
"699368","occ","","","75084","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Pragian","","413.02","410.62","25347"
"699469","occ","","","75095","Stromatopora concentrica","genus","3442","species not entered","Stromatopora","genus","3442","Emsian","","410.62","393.47","25300"
"715677","occ","","","76755","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Pridoli","","422.7","419.62","25968"
"715971","occ","","","76848","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Lochkovian","","419.62","413.02","25968"
"716314","occ","","","76884","Stromatopora sp.","genus","3442","","Stromatopora","genus","3442","Frasnian","","382.31","372.15","25864"
"716917","occ","","","76963","Stromatopora ex gr. polaris","genus","3442","species not entered","Stromatopora","genus","3442","Emsian","","410.62","393.47","26031"
